1,UAE,(proper noun)
2,USA,(proper noun)
3,UK,(proper noun)
4,BAHRAIN,(proper noun)
5,CANADA,(proper noun)
6,MALDIVES,(proper noun)
7,RUSSIA,(proper noun)
8,FRANCE,(proper noun)
9,MEXICO,(proper noun)
10,ITALY,(proper noun)
11,IRAN,(proper noun)
12,TURKEY,(proper noun)
13,QATAR,(proper noun)
14,KUWAIT,(proper noun)
15,OMAN,(proper noun)
16,KSA,(proper noun)
17,EGYPT,(proper noun)
18,JORDAN,(proper noun)
19,LEBANON,(proper noun)
20,GREECE,(proper noun)
21,SPAIN,(proper noun)
22,ICELAND,(proper noun)
23,PERU,(proper noun)
24,BRAZIL,(proper noun)
25,MOROCCO,(proper noun)
26,NIGERIA,(proper noun)
27,SRILANKA,(proper noun)
28,AUSTRALIA,(proper noun)
29,FIJI,(proper noun)
30,JAPAN,(proper noun)
31,PAKISTAN,(proper noun)
32,NEPAL,(proper noun)
33,INDIA,(proper noun)
34,IRAQ,(proper noun)
35,SWEDEN,(proper noun)
36,THAILAND,(proper noun)
37,INDONESIA,(proper noun)
38,MALI,(proper noun)
39,CHILE,(proper noun)
40,GHANA,(proper noun)
41,CAMBODIA,(proper noun)
42,BAHAMAS,(proper noun)
43,CHINA,(proper noun)
44,SINGAPORE,(proper noun)
45,MALAYSIA,(proper noun)
46,KENYA,(proper noun)
47,PALAU,(proper noun)
48,UKRAINE,(proper noun)
49,ZIMBABWE,(proper noun)
50,SEYCHELLS,(proper noun)
51,PHILIPPINES,(proper noun)